Designator,Mid X,Mid Y,Rotation,Layer
BT1,141.6,-129.325,90.0,bottom
C1,148.7,-102.1,180.0,top
C10,126.7,-137.4375,270.0,top
C11,114.5,-125.7375,270.0,top
C12,112.4,-125.7375,270.0,top
C13,123.5625,-126.9,0.0,top
C14,123.6,-131.4,0.0,top
C15,115.1,-138.4375,270.0,top
C16,123.0,-124.7,0.0,top
C17,123.0,-129.2,0.0,top
C18,112.7,-137.875,270.0,top
C19,121.7,-140.8,90.0,top
C2,104.9,-91.8625,90.0,top
C20,119.6,-140.8,90.0,top
C21,152.95,-149.2,270.0,top
C22,148.75,-129.4375,90.0,top
C23,116.0,-146.4,90.0,top
C24,113.9,-146.3625,90.0,top
C25,111.8,-146.3625,90.0,top
C26,101.6,-149.5,180.0,top
C27,101.6,-147.4,0.0,top
C28,101.6,-153.7,0.0,top
C29,101.6,-151.6,0.0,top
C3,107.1,-91.8625,90.0,top
C30,103.4,-159.2,0.0,top
C31,107.3,-159.2,0.0,top
C33,137.1,-132.4,0.0,top
C34,137.1,-134.9,0.0,top
C35,133.9,-99.7,270.0,top
C36,138.1,-106.7,180.0,top
C37,150.05,-149.2,270.0,top
C38,142.05,-149.2,90.0,top
C39,144.85,-155.0375,180.0,top
C4,107.1,-95.9,270.0,top
C40,137.7,-120.8375,90.0,top
C41,99.8,-106.8,270.0,top
C42,102.3,-138.9,0.0,top
C43,154.8,-139.0,0.0,top
C44,154.8,-109.2,180.0,top
C5,106.9375,-128.7375,270.0,top
C6,103.3375,-130.0375,0.0,top
C7,121.9,-134.7375,270.0,top
C8,130.1,-136.8,270.0,top
C9,124.2,-135.3375,270.0,top
D1,146.2,-98.4,90.0,top
D2,145.85,-129.4375,90.0,top
D3,134.8,-120.8375,90.0,top
D4,157.5,-93.0,0.0,top
D5,157.4375,-90.9,0.0,top
FB1,108.9375,-147.4,0.0,top
J2,89.4,-98.06,0.0,top
LS1,100.825,-166.9,0.0,top
Q1,138.0,-160.8,270.0,top
Q2,145.6375,-143.45,180.0,top
Q3,137.575,-141.15,0.0,top
R1,149.4,-94.1,180.0,top
R10,112.4,-118.0375,270.0,top
R11,114.5,-118.0375,270.0,top
R12,108.4,-132.6375,180.0,top
R13,108.4,-134.7875,180.0,top
R14,108.4,-139.0,180.0,top
R15,108.4,-136.9,180.0,top
R16,112.4,-114.2,90.0,top
R18,117.8,-125.8375,270.0,top
R19,121.7,-144.7,90.0,top
R2,146.3,-104.1,180.0,top
R20,119.6,-144.7,90.0,top
R21,134.9,-160.9,90.0,top
R22,105.5,-149.5,0.0,top
R23,105.5,-153.7,0.0,top
R24,105.5,-151.6,180.0,top
R25,100.4,-158.3,90.0,top
R26,110.2,-158.3,90.0,top
R27,104.1,-97.0,0.0,top
R28,129.9,-125.0,270.0,top
R29,132.0,-125.0,270.0,top
R3,104.1,-94.9,0.0,top
R30,136.1,-129.3,270.0,top
R31,140.85,-133.3375,270.0,top
R32,142.95,-133.3375,270.0,top
R33,104.1,-99.1,0.0,top
R34,134.8,-96.8,180.0,top
R35,140.3,-99.7,90.0,top
R36,142.0,-130.3,180.0,top
R37,142.0,-128.2,180.0,top
R38,153.8,-92.9,0.0,top
R39,130.9,-122.0,180.0,top
R40,130.9,-119.9,180.0,top
R41,153.7375,-91.0,0.0,top
R42,141.5,-114.0,90.0,top
R43,96.1,-120.9,270.0,top
R44,96.4,-133.5,270.0,top
R45,96.4,-108.0,270.0,top
R46,96.2,-146.5,270.0,top
R47,137.2,-164.9,270.0,top
R48,141.5375,-142.45,180.0,top
R49,145.4375,-140.35,0.0,top
R5,103.9375,-127.8375,180.0,top
R50,141.5375,-140.35,0.0,top
R51,114.4,-114.2,270.0,top
R6,127.4,-133.8375,180.0,top
R7,131.3,-133.8375,180.0,top
R8,112.4,-121.8375,90.0,top
R9,114.5,-121.8375,90.0,top
SW1,102.8,-120.0,180.0,top
SW2,102.8,-113.1,0.0,top
SW3,90.9,-126.2,90.0,top
SW4,90.9,-112.9,90.0,top
SW5,90.9,-138.8,90.0,top
SW6,90.9,-151.5,90.0,top
SW7,160.0,-145.9,90.0,top
SW8,102.8,-120.0,180.0,bottom
SW9,102.8,-113.1,0.0,bottom
U1,118.6,-95.94,0.0,top
U10,118.1,-166.9,0.0,top
U11,102.5,-136.5,180.0,top
U12,154.8,-136.6,180.0,top
U13,154.8,-106.8,0.0,top
U2,117.5,-131.5375,90.0,top
U3,112.4,-151.4,0.0,top
U4,149.8,-120.415,270.0,top
U5,137.1,-99.7,0.0,top
U6,136.7,-103.6,270.0,top
U7,134.21,-114.1,90.0,top
U8,145.75,-149.1,0.0,top
U9,102.5,-106.8,90.0,top
X1,156.0,-99.52,90.0,top
